iter	Passed	Remaining
0	145	145052
1	309	154212
2	483	160768
3	605	150662
4	758	151028
5	908	150439
6	1013	143731
7	1159	143735
8	1346	148314
9	1485	147026
10	1641	147604
11	1819	149777
12	1939	147270
13	2103	148122
14	2283	149929
15	2462	151471
16	2582	149316
17	2701	147386
18	2883	148865
19	3096	151727
20	3217	150000
21	3353	149061
22	3486	148115
23	3604	146582
24	3720	145082
25	3842	143929
26	3960	142706
27	4075	141490
28	4206	140833
29	4368	141242
30	4556	142417
31	4721	142840
32	5008	146766
33	5186	147360
34	5309	146380
35	5477	146681
36	5626	146444
37	5773	146164
38	5935	146252
39	6103	146476
40	6227	145673
41	6325	144284
42	6434	143205
43	6550	142317
44	6670	141569
45	6785	140733
46	6899	139899
47	7026	139364
48	7133	138447
49	7254	137843
50	7385	137434
51	7513	136975
52	7670	137059
53	7923	138810
54	8113	139412
55	8278	139548
56	8378	138619
57	8505	138146
58	8658	138101
59	8790	137720
60	8954	137833
61	9072	137260
62	9183	136587
63	9292	135908
64	9413	135406
65	9515	134664
66	9621	133988
67	9723	133265
68	9826	132585
69	9951	132211
70	10078	131875
71	10185	131279
72	10322	131076
73	10446	130723
74	10587	130574
75	10726	130410
76	10938	131124
77	11087	131062
78	11233	130963
79	11437	131525
80	11637	132030
81	11799	132094
82	11914	131635
83	12035	131247
84	12193	131264
85	12345	131207
86	12472	130885
87	12595	130536
88	12704	130039
89	12821	129639
90	12928	129139
91	13025	128552
92	13126	128018
93	13232	127541
94	13437	128011
95	13605	128117
96	13740	127912
97	13920	128125
98	14119	128505
99	14230	128076
100	14358	127808
101	14518	127823
102	14634	127449
103	14749	127071
104	14858	126652
105	14959	126170
106	15064	125728
107	15184	125415
108	15384	125758
109	15531	125660
110	15685	125628
111	15810	125350
112	15899	124807
113	16005	124394
114	16114	124014
115	16234	123716
116	16365	123512
117	16535	123597
118	16685	123528
119	16862	123659
120	17082	124093
121	17216	123905
122	17381	123929
123	17613	124431
124	17769	124385
125	17880	124027
126	17995	123703
127	18101	123319
128	18228	123075
129	18365	122904
130	18489	122654
131	18658	122693
132	18860	122947
133	18980	122666
134	19093	122342
135	19207	122023
136	19318	121695
137	19454	121518
138	19783	122544
139	19919	122361
140	20046	122128
141	20218	122165
142	20340	121903
143	20534	122067
144	20673	121901
145	20885	122166
146	21119	122549
147	21311	122685
148	21475	122654
149	21663	122758
150	21791	122521
151	21907	122218
152	22028	121950
153	22144	121652
154	22252	121312
155	22380	121084
156	22501	120819
157	22625	120572
158	22771	120445
159	22972	120606
160	23079	120269
161	23282	120434
162	23386	120089
163	23494	119762
164	23598	119421
165	23749	119318
166	23895	119190
167	24004	118877
168	24111	118560
169	24226	118283
170	24337	117989
171	24468	117791
172	24571	117461
173	24750	117491
174	24868	117236
175	24993	117017
176	25155	116968
177	25331	116980
178	25449	116725
179	25581	116538
180	25689	116242
181	25814	116024
182	26040	116259
183	26315	116701
184	26455	116547
185	26648	116623
186	26783	116445
187	26909	116226
188	27018	115935
189	27135	115683
190	27257	115449
191	27369	115179
192	27488	114940
193	27623	114763
194	27795	114745
195	27932	114582
196	28095	114522
197	28213	114279
198	28331	114037
199	28446	113784
200	28550	113493
201	28653	113196
202	28769	112950
203	28964	113019
204	29128	112962
205	29237	112690
206	29355	112459
207	29476	112236
208	29594	112005
209	29767	111981
210	29921	111886
211	30043	111670
212	30152	111409
213	30262	111151
214	30374	110902
215	30539	110848
216	30720	110849
217	30915	110899
218	31063	110778
219	31177	110536
220	31278	110253
221	31387	109998
222	31501	109762
223	31616	109527
224	31737	109317
225	31852	109087
226	32055	109157
227	32206	109051
228	32355	108933
229	32543	108948
230	32726	108947
231	32881	108849
232	33014	108679
233	33137	108475
234	33256	108261
235	33379	108058
236	33504	107863
237	33679	107829
238	33808	107648
239	33951	107512
240	34076	107320
241	34187	107083
242	34298	106847
243	34418	106640
244	34551	106474
245	34682	106304
246	34793	106070
247	34978	106062
248	35086	105823
249	35242	105726
250	35352	105494
251	35483	105324
252	35626	105188
253	35791	105119
254	35972	105097
255	36152	105067
256	36413	105273
257	36624	105330
258	36734	105097
259	36851	104883
260	36969	104676
261	37070	104419
262	37183	104198
263	37303	103997
264	37421	103792
265	37543	103598
266	37650	103363
267	37771	103166
268	37872	102918
269	38016	102786
270	38124	102557
271	38245	102362
272	38361	102157
273	38478	101953
274	38673	101957
275	38789	101752
276	38902	101539
277	39056	101434
278	39218	101348
279	39435	101404
280	39615	101364
281	39820	101387
282	39939	101188
283	40067	101016
284	40196	100844
285	40329	100682
286	40433	100448
287	40701	100623
288	40920	100673
289	41068	100546
290	41327	100691
291	41484	100584
292	41652	100507
293	41836	100464
294	41953	100261
295	42072	100065
296	42268	100050
297	42529	100187
298	42748	100223
299	42867	100023
300	43009	99880
301	43149	99728
302	43272	99540
303	43399	99362
304	43549	99234
305	43764	99255
306	43975	99266
307	44120	99128
308	44261	98979
309	44398	98823
310	44522	98637
311	44703	98576
312	44826	98388
313	45020	98357
314	45225	98348
315	45326	98112
316	45432	97888
317	45543	97675
318	45691	97543
319	45852	97436
320	46011	97326
321	46161	97196
322	46370	97191
323	46524	97068
324	46616	96818
325	46719	96592
326	46842	96407
327	46996	96285
328	47164	96193
329	47274	95982
330	47390	95783
331	47508	95589
332	47635	95414
333	47760	95235
334	47897	95080
335	48041	94940
336	48225	94876
337	48351	94701
338	48468	94507
339	48597	94336
340	48826	94359
341	49013	94300
342	49121	94089
343	49231	93883
344	49341	93676
345	49454	93477
346	49562	93269
347	49687	93091
348	49815	92922
349	49958	92779
350	50070	92581
351	50204	92421
352	50339	92265
353	50529	92210
354	50663	92051
355	50858	92002
356	50992	91843
357	51156	91737
358	51281	91563
359	51415	91405
360	51578	91298
361	51749	91204
362	51871	91024
363	52032	90914
364	52148	90724
365	52273	90550
366	52397	90374
367	52523	90202
368	52639	90015
369	52785	89877
370	52958	89787
371	53112	89663
372	53243	89500
373	53368	89328
374	53501	89169
375	53747	89197
376	53884	89044
377	54078	88986
378	54197	88803
379	54313	88616
380	54430	88431
381	54543	88241
382	54659	88054
383	54768	87857
384	54885	87673
385	54991	87472
386	55108	87290
387	55232	87118
388	55349	86937
389	55468	86758
390	55577	86563
391	55694	86383
392	55827	86227
393	56023	86167
394	56190	86063
395	56310	85887
396	56429	85710
397	56547	85532
398	56667	85357
399	56806	85210
400	56967	85095
401	57091	84926
402	57201	84738
403	57321	84563
404	57441	84389
405	57567	84224
406	57710	84084
407	57924	84046
408	58046	83876
409	58198	83749
410	58378	83661
411	58564	83581
412	58719	83457
413	58880	83343
414	59019	83196
415	59166	83060
416	59379	83017
417	59552	82918
418	59682	82757
419	59816	82604
420	59978	82487
421	60128	82356
422	60243	82175
423	60370	82013
424	60534	81899
425	60692	81778
426	60849	81655
427	61001	81525
428	61149	81390
429	61335	81305
430	61548	81256
431	61745	81183
432	61886	81038
433	62029	80895
434	62146	80719
435	62310	80603
436	62519	80545
437	62611	80336
438	62718	80148
439	62819	79952
440	62926	79763
441	63039	79583
442	63155	79408
443	63283	79246
444	63417	79093
445	63579	78975
446	63708	78815
447	63834	78653
448	63981	78516
449	64133	78385
450	64280	78248
451	64491	78189
452	64665	78084
453	64780	77908
454	64900	77737
455	65019	77566
456	65187	77454
457	65297	77273
458	65433	77123
459	65566	76969
460	65676	76788
461	65807	76633
462	65980	76526
463	66118	76378
464	66274	76251
465	66444	76140
466	66562	75969
467	66686	75806
468	66833	75668
469	66958	75506
470	67076	75336
471	67196	75168
472	67331	75018
473	67517	74924
474	67640	74760
475	67829	74669
476	67955	74509
477	68073	74339
478	68181	74159
479	68312	74005
480	68460	73868
481	68617	73741
482	68759	73599
483	69026	73590
484	69232	73515
485	69473	73476
486	69664	73383
487	69930	73369
488	70105	73260
489	70215	73081
490	70344	72922
491	70480	72772
492	70616	72621
493	70717	72434
494	70823	72254
495	70950	72094
496	71095	71953
497	71247	71819
498	71388	71674
499	71533	71533
500	71680	71394
501	71845	71272
502	71980	71121
503	72148	71003
504	72284	70852
505	72476	70757
506	72609	70604
507	72846	70552
508	73069	70485
509	73327	70451
510	73500	70336
511	73632	70180
512	73820	70078
513	73991	69960
514	74219	69895
515	74387	69774
516	74551	69648
517	74671	69482
518	74789	69313
519	74907	69145
520	75064	69013
521	75198	68859
522	75392	68761
523	75562	68640
524	75680	68472
525	75797	68303
526	75920	68141
527	76037	67972
528	76147	67798
529	76254	67621
530	76357	67441
531	76462	67263
532	76570	67088
533	76679	66914
534	76808	66758
535	76920	66588
536	77026	66412
537	77223	66314
538	77369	66173
539	77505	66023
540	77642	65873
541	77754	65704
542	77875	65541
543	78011	65391
544	78140	65236
545	78247	65062
546	78372	64904
547	78497	64745
548	78629	64593
549	78766	64445
550	78903	64296
551	79060	64165
552	79223	64038
553	79373	63899
554	79548	63781
555	79647	63603
556	79758	63434
557	79894	63285
558	80025	63132
559	80188	63005
560	80376	62897
561	80512	62748
562	80638	62591
563	80865	62512
564	81081	62425
565	81229	62285
566	81332	62111
567	81447	61945
568	81565	61782
569	81697	61631
570	81810	61465
571	81920	61297
572	82026	61126
573	82183	60993
574	82386	60894
575	82487	60719
576	82596	60551
577	82708	60385
578	82820	60219
579	83008	60109
580	83122	59945
581	83295	59823
582	83427	59673
583	83530	59500
584	83634	59330
585	83755	59171
586	83932	59053
587	84043	58887
588	84152	58721
589	84263	58555
590	84372	58389
591	84485	58226
592	84602	58066
593	84719	57905
594	84862	57763
595	84980	57603
596	85093	57441
597	85212	57283
598	85327	57122
599	85439	56959
600	85623	56845
601	85787	56716
602	86003	56622
603	86107	56454
604	86224	56295
605	86388	56166
606	86495	56001
607	86625	55850
608	86755	55700
609	86892	55554
610	87092	55448
611	87230	55302
612	87410	55184
613	87565	55049
614	87713	54909
615	87855	54767
616	87980	54613
617	88107	54461
618	88235	54309
619	88397	54179
620	88526	54028
621	88679	53891
622	88786	53728
623	88894	53564
624	89018	53411
625	89158	53267
626	89347	53152
627	89509	53021
628	89727	52923
629	89926	52814
630	90079	52677
631	90186	52513
632	90308	52359
633	90430	52204
634	90569	52059
635	90689	51904
636	90812	51750
637	91005	51636
638	91110	51472
639	91280	51345
640	91399	51189
641	91497	51022
642	91601	50858
643	91711	50697
644	91829	50542
645	92010	50420
646	92124	50262
647	92236	50103
648	92354	49948
649	92514	49815
650	92632	49659
651	92754	49506
652	92874	49353
653	92995	49199
654	93171	49075
655	93406	48981
656	93587	48859
657	93753	48729
658	93910	48593
659	94023	48436
660	94140	48281
661	94255	48124
662	94371	47968
663	94482	47810
664	94594	47652
665	94777	47531
666	94910	47384
667	95033	47232
668	95157	47080
669	95279	46928
670	95452	46801
671	95600	46662
672	95803	46549
673	95913	46391
674	96093	46267
675	96271	46141
676	96491	46036
677	96656	45904
678	96845	45784
679	97092	45690
680	97325	45590
681	97510	45466
682	97620	45308
683	97740	45154
684	97863	45003
685	97998	44856
686	98117	44702
687	98278	44568
688	98462	44443
689	98630	44312
690	98791	44177
691	99018	44071
692	99186	43939
693	99270	43770
694	99370	43608
695	99470	43446
696	99585	43291
697	99696	43135
698	99820	42984
699	99945	42833
700	100072	42684
701	100185	42528
702	100306	42377
703	100425	42224
704	100543	42071
705	100671	41922
706	100787	41769
707	100886	41608
708	101013	41459
709	101187	41330
710	101308	41178
711	101469	41043
712	101585	40890
713	101708	40740
714	101857	40600
715	101987	40453
716	102087	40294
717	102188	40135
718	102305	39982
719	102417	39829
720	102534	39677
721	102636	39519
722	102750	39366
723	102874	39217
724	103090	39103
725	103208	38952
726	103321	38798
727	103497	38669
728	103720	38557
729	103856	38412
730	104018	38277
731	104146	38130
732	104338	38006
733	104457	37855
734	104619	37720
735	104730	37566
736	104845	37414
737	104990	37272
738	105099	37119
739	105235	36974
740	105376	36831
741	105488	36679
742	105614	36531
743	105737	36382
744	105846	36229
745	106004	36092
746	106186	35964
747	106327	35821
748	106441	35670
749	106591	35530
750	106708	35380
751	106817	35226
752	106964	35086
753	107124	34950
754	107290	34816
755	107442	34677
756	107588	34536
757	107728	34393
758	107840	34242
759	107960	34092
760	108143	33963
761	108291	33823
762	108469	33692
763	108642	33559
764	108762	33410
765	108900	33267
766	109010	33115
767	109130	32966
768	109275	32825
769	109390	32675
770	109511	32526
771	109630	32378
772	109745	32228
773	109876	32082
774	110029	31944
775	110200	31810
776	110419	31690
777	110535	31540
778	110647	31390
779	110771	31243
780	110884	31093
781	110998	30943
782	111110	30793
783	111256	30652
784	111392	30508
785	111535	30367
786	111660	30220
787	111828	30085
788	111956	29940
789	112083	29794
790	112213	29649
791	112335	29502
792	112453	29354
793	112588	29210
794	112768	29078
795	113017	28964
796	113174	28826
797	113308	28682
798	113507	28554
799	113671	28417
800	113782	28268
801	113975	28138
802	114179	28011
803	114303	27865
804	114457	27725
805	114589	27581
806	114708	27433
807	114826	27285
808	114944	27137
809	115063	26990
810	115179	26842
811	115318	26699
812	115438	26552
813	115554	26404
814	115710	26265
815	115842	26121
816	115997	25982
817	116283	25872
818	116420	25729
819	116558	25586
820	116735	25451
821	116892	25312
822	117047	25173
823	117159	25024
824	117385	24899
825	117604	24773
826	117802	24643
827	117980	24508
828	118118	24364
829	118259	24221
830	118375	24074
831	118495	23926
832	118621	23781
833	118742	23634
834	118860	23487
835	118986	23341
836	119122	23198
837	119240	23051
838	119490	22929
839	119645	22789
840	119810	22651
841	120022	22522
842	120218	22389
843	120459	22265
844	120632	22127
845	120767	21983
846	120900	21839
847	121051	21697
848	121191	21554
849	121334	21411
850	121486	21270
851	121601	21123
852	121720	20976
853	121877	20836
854	122086	20704
855	122302	20574
856	122420	20427
857	122538	20280
858	122753	20149
859	122926	20011
860	123084	19870
861	123238	19729
862	123371	19585
863	123499	19439
864	123615	19292
865	123713	19142
866	123866	19001
867	124105	18873
868	124237	18728
869	124420	18591
870	124530	18443
871	124642	18296
872	124764	18150
873	124891	18005
874	125046	17863
875	125202	17722
876	125368	17583
877	125529	17442
878	125777	17314
879	125964	17176
880	126151	17039
881	126299	16897
882	126408	16749
883	126530	16603
884	126653	16457
885	126767	16310
886	126894	16165
887	127009	16019
